id,text,text_el,topic,subtopic,topic-open,sentiment,polarization,polarization-definition,toxicity,toxicity-definition,populism,populism-definition,hate speech,ner
1,"Thank you, Madam President.  Measures to support victims and those affected by the earthquakes. ",Ευχαριστώ κυρία Πρόεδρε  Μέτρα στήριξης θυμάτων και πληγέντων των τεμπών αυτό,civil protection,natural disasters,earthquakes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"[['madam president', 'person', '0.9'], ['earthquakes', 'location', '0.8']]"
2, You bring as a bill.  I had to modestly.  Humble. , Φέρνετε ως νομοσχέδιο  Έπρεπε σεμνά  Ταπεινά,reference to other parties,,payment,-0.4,0.0,0.0,0.2,0.5,0.0,0.0,0.0,[]
3," With respect to the popular sentiment for this great national mourning, bring a bill that is exclusively targeted at measures to support victims and the affected.  Not by fiddling with them, by inserting these 12 articles into a maze of 132 articles and provisions with gifts and buffers.  For the daydreamers.  But you cannot hold back even in the moment of mourning and devotion.  You have to make everything dirty.  Every good and appropriate thing to use. "," Με σεβασμό στο λαϊκό συναίσθημα για αυτό το μεγάλο εθνικό πένθος, να φέρετε ένα νομοσχέδιο το οποίο να είναι αποκλειστικά στοχευμένο σε μέτρα στήριξης θυμάτων και πληγέντων  Όχι να τα μαγαρίζεται, εντάσσοντας αυτά τα 12 άρθρα μέσα σε ένα κυκεώνα 132 άρθρων και διατάξεων με δωράκια και ρουσφέτια  Για τους ημέτερους  Δεν μπορείτε όμως να κρατηθείτε ακόμα και τη στιγμή του πένθους και της κατάνυξης  Πρέπει όλα να τα βρωμίσετε  Κάθε τι καλό και πρέπον να το χρησιμοποιήσετε",reference to other parties,other,legislation,-0.75,0.9,0.0,0.7,0.5,0.7,0.0,0.1,[]
4," To hide behind a bill you have to pay that you have to pay before Parliament closes.  Ladies and Gentlemen.  This Parliament no longer has the legitimacy to legislate only one piece of legislation, it has the obligation and legitimacy to pass.  The amendment of day 25 to be given to 500 600. 000 young men and women the right to vote in these elections in their place of work, like the police, like the magistrates, like our soldiers.  The fact that you're not doing it proves that it's not just that a second ballot box has come up in July, but it's your plan because you know that the generation of temps, the young people and the young people out there are going to blackball you and you want to take away.  The vote prove me wrong, it's too easy.  Pass our amendment give young people the right to vote in workplaces.  You don't do it because you are afraid of the youth.  You fear the generation of the lazy. "," Για να κρύψετε από πίσω κάποιο γραμμάτιο που πρέπει να εξοφλήσετε που πρέπει να πληρώσετε πριν κλείσει η Βουλή  Κυρίες και κύριοι συνάδελφοι  Η Βουλή αυτή δεν έχει πλέον νομιμοποίηση να νομοθετεί μόνο ένα νομοθέτημα, έχει υποχρέωση και νομιμοποίηση να περάσει  Την τροπολογία του μέρα 25 για να δοθεί σε 500 600 000 νέους και νέες το δικαίωμα να ψηφίσουν σε αυτές τις εκλογές στον τόπο εργασίας τους, όπως οι αστυνομικοί, όπως οι δικαστικοί αντιπρόσωποι όπως οι φαντάροι μας  Το γεγονός ότι δεν το κάνετε αποδεικνύει ότι δεν είναι απλά προέκυψε μια δεύτερη κάλπη τον Ιούλιο, αλλά είναι το σχέδιό σας γιατί γνωρίζετε ότι η γενιά των τεμπών, οι νέες και οι νέοι εκεί έξω θα σας μαυρίσουν και θέλετε να του στερήσετε  Την ψήφο διαψεύστε με, είναι πολύ εύκολο  Πέρασε η τροπολογία μας δώστε στους νέους και στις νεές το δικαίωμα να ψηφίσουν στους τόπους εργασίας  Δεν το κάνετε γιατί φοβάστε τη νεολαία  Φοβάστε τη γενιά των τεμπών",young people,elections,amendment of right to vote in workplaces,-0.6,0.8,0.0,0.4,0.5,0.6,0.2,0.1,"[['parliament', 'organization', 'high probability'], ['500 600. 000', 'quantity', 'high probability'], ['police', 'organization', 'medium probability'], ['magistrates', 'organization', 'medium probability'], ['soldiers', 'organization', 'medium probability']]"
5," Ladies and gentlemen, we are starting an election period.  We at Day 25 are committed to run the election campaign with ethics.  And with a commitment to highlighting.  In the public interest. ", Κυρίες και κύριοι συνάδελφοι ξεκινάμε μια προεκλογική περίοδο  Εμείς στο μέρα 25 δεσμευόμαστε να δώσουμε τον προεκλογικό αγώνα με ήθος  Και με προσήλωση στο να αναδείξουμε  Υπέρ του δημοσίου συμφέροντος,reference to other parties,elections,election campaign,0.6,0.0,0.0,0.0,0.0,0.2,0.0,0.0,"[['day 25', 'organization', '0.9']]"
6," Without fear, without pathos, without passion, without crowns, to highlight our real major differences with each of the political forces represented here in the Parliament, but also forces not represented in the Parliament outside.  Our first big difference with you.  The New Democracy of PASOK and SYRIZA concerns our assessment of the course of this country.  Do you consider. "," Χωρίς φόβος, χωρίς πάθος, χωρίς κορώνες, να αναδείξουμε τις αληθινές μεγάλες διαφορές μας, με καθεμία από τις πολιτικές δυνάμεις που εκπροσωπούνται εδώ στη Βουλή, αλλά και δυνάμεις που δεν εκπροσωπούνται στη Βουλή εκεί έξω  Η πρώτη μεγάλη μας διαφορά με εσάς  Της Νέας Δημοκρατίας του ΠΑΣΟΚ και του ΣΥΡΙΖΑ αφορά την εκτίμησή μας για την πορεία αυτού του τόπου  Εσείς θεωρείτε",reference to other parties,other,political differences,0.0,0.2,0.2,0.2,0.1,0.1,0.0,0.0,"[['new democracy', 'political party', '0.5'], ['pasok', 'political party', '0.5'], ['syriza', 'political party', '0.5'], ['parliament', 'location', '0.5']]"
7," That in 2018 we came out of the memoranda, that our debt is sustainable, that your differences are simply about how you will manage the post-memorandum phase of this country.  We founded Day 25 because we don't believe this fairy tale.  We established the day 25 because this country is not sustainable neither the public debt, nor the private debt, nor the state, nor the private sector is sustainable.  In this context of prison, private and public debt, which has been created by the domestic and foreign troika. You are talking about investment grade.  You of the new democracy are the Holy Grail of your government. "," Ότι το 2018 βγήκαμε από τα μνημόνια ότι το χρέος μας είναι βιώσιμο, ότι απλά οι διαφορές σας, αφορούν τον τρόπο με τον οποίο θα διαχειριστείτε τη μεταμνημονιακή φάση αυτής της χώρας  Εμείς ιδρύσαμε το μέρα 25 επειδή δεν πιστεύουμε αυτό το παραμύθι  Ιδρύσαμε το μέρα 25 γιατί αυτή η χώρα δεν είναι βιώσιμο ούτε το δημόσιο χρέος, ούτε το ιδιωτικό χρέος, ούτε το κράτος, ούτε ιδιωτικός τομέας είναι βιώσιμη  Μέσα σε αυτό το πλαίσιο της φυλακής, χρέος ιδιωτικού και δημοσίου, το οποίο έχει δημιουργηθεί από την τρόικα εσωτερικού και εξωτερικού Μιλάτε για επενδυτική βαθμίδα  Εσείς της νέας δημοκρατίας είναι το Άγιο Δισκοπότηρο της κυβέρνησής σας",economy,public debt,sustainability,-0.5,0.79,0.0,0.3,0.1,0.8,0.0,0.0,"[['2018', 'date', '0.9'], ['day 25', 'organization', '1.0']]"
8," Do you know the investment grade.  It's another opportunity to cover up the bankruptcy of both the public and private sector, where the and favourably whether it's public or private, when it borrows with an investment grade, without an investment grade, it's essentially borrowing on the backs of Frankfurt.  The only thing it does is dig deeper. "," Ξέρετε την επενδυτική βαθμίδα  Είναι άλλη μία ευκαιρία συγκάλυψης της χρεοκοπίας, τόσο του δημόσιου όσο και του ιδιωτικού τομέα, όπου το και ευμενώς είτε είναι το δημόσιο είτε στο ιδιωτικό, όταν δανείζεται με επενδυτική βαθμίδα, χωρίς επενδυτική βαθμίδα, ουσιαστικά δανείζεται με τις πλάτες της Φρανκφούρτης  Το μόνο πράγμα που κάνει είναι σκάβει ακόμα πιο βαθιά",economy,bankruptcy,investment grade,-0.5,0.5,0.0,0.4,0.2,0.6,0.0,0.0,"[['frankfurt', 'location', '0.6']]"
9," The hole in which this economy of our public and private sector is stuck.  Our second big difference.  Which we will highlight from today until the elections, is about simple proportional representation.  Friends of SYRIZA it is not enough to vote for the simple proportional representation.  You must honor her. "," Την τρύπα μέσα στην οποία είναι χωμένη αυτή η οικονομία του δημόσιου και του ιδιωτικού μας τομέα  Η δεύτερη μεγάλη μας διαφορά  Που θα αναδείξουμε από σήμερα μέχρι και τις εκλογές, αφορά την απλή αναλογική  Φίλες και φίλοι του ΣΥΡΙΖΑ δεν αρκεί να ψηφίζεις την απλή αναλογική  Πρέπει να την τιμάς",economy,elections,proportional representation,-0.2,0.15,0.2,0.2,0.1,0.2,0.0,0.0,"[['syriza', 'org', '0.86']]"
10," To be able to separate the reactionary narrative of governability.  From the sacred sacred obligation for a meaningful pre-electoral dialogue, given that the Constitution does not allow us the time for a post-electoral dialogue.  A dialogue that will bring.  If not the convergence that you are, it means we will at least agree to at least agree to honestly record what our real disagreements are before the people electorally.  We're watching as day 25 what I think the whole nation out there is watching. "," Να μπορείς να διαχωρίσεις το αντιδραστικό αφήγημα της κυβερνησιμότητας  Από την ιερή ιερή υποχρέωση για έναν ουσιαστικό διάλογο προεκλογικό διάλογο, δεδομένο το Σύνταγμα δεν μας επιτρέπει τα χρονικά περιθώρια για ένα μετεκλογικό διάλογο  Ένα διάλογο που θα φέρει  Αν όχι τη σύγκλιση ότι είσαι, σημαίνει ότι θα συμφωνήσουμε τουλάχιστον να καταγραφεί ειλικρινά ποιες είναι οι πραγματικές μας διαφωνίες ενώπιον του λαού προεκλογικά  Παρακολουθούμε ως μέρα 25 τι νομίζω ότι ολόκληρος λαός εκεί έξω παρακολουθεί",reference to other parties,elections,pre-electoral dialogue,0.0,0.3,0.1,0.1,0.1,0.1,0.0,0.0,"[['constitution', 'org', '0.6'], ['25', 'misc', '0.4']]"
